transaction_id,transaction_date,product_id,product_name,quantity,unit_price,total_price
R000001,2025-01-01,P001,スノーテックCRYSTALVIEWKJ-55X9500G［期間限定］,2,150000,300000
R000002,2025-02-02,P002,フジヤマ電機 VISIONMAX TH-55FX700M【店頭】＜期間限定＞,3,120000,360000
R000003,2025-03-03,P003,サクラ電器 CLEARSCREEN 4T KJ-55X7000[半額セール],4,110000,440000
R000004,2025-04-04,P004,ゆきだるま食品カップめん［期間限定］,5,200,1000
R000005,2025-05-05,P005,サファイア飲料 ゴールドビール【店頭】＜半額セール＞,1,400,400
R000006,2025-06-06,P006,パワフル洗剤（期間限定）,2,800,1600
R000007,2025-07-07,P007,シンプルウェアウォームインナーシャツ[半額セール],3,1500,4500
R000008,2025-08-08,P008,ナチュラルスタイル オーガニックコットンシャツ【店頭】［期間限定］,4,2500,10000
R000009,2025-09-09,P009,スカイライン文具 イレーサブルペン【閉店セール】,5,100,500
R000010,2025-10-10,P010,ワンダートイロボットフィギュア【期間限定】,1,3000,3000
R000011,2025-11-11,P011,アオゾラ電機 BRIGHTVIEW ４３Ｓ３２【店頭】【半額セール】,2,70000,140000
R000012,2025-12-12,P012,ミルクチョコ[期間限定],3,150,450
R000013,2025-01-13,P013,フレッシュケアソフティーナ【半額セール】,4,500,2000
R000014,2025-02-14,P014,ヤマトｴｱｺﾝ MSZ-GV3519【店頭】＜期間限定＞,5,90000,450000
R000015,2025-03-15,P015,ハッピースイーツ チョコパイ＜半額セール＞,1,300,300
R000016,2025-04-16,P016,ミライ電機4Kスマートテレビ【期間限定】,2,80000,160000
R000017,2025-05-17,P017,フジヤマ電機 4Kプロジェクター【店頭】（半額セール）,3,130000,390000
R000018,2025-06-18,P018,加湿器 HX-50［期間限定］,4,15000,60000
R000019,2025-07-19,P019,スノーテックワイヤレスヘッドホンWH-1000XM4[半額セール],5,90000,450000
R000020,2025-08-20,P020,フジヤマ電機 掃除機 mc-cl883【店頭】[半額セール],1,75000,75000
R000021,2025-09-21,P021,アオゾラ電機 ﾉﾝﾌﾛﾝ冷蔵庫［半額セール］,2,85000,170000
R000022,2025-10-22,P022,ミライ電機ドラム式洗濯機【半額セール】,3,100000,300000
R000023,2025-11-23,P023,フジヤマ電機 エアコン CS-XE【店頭】【半額セール】,4,95000,380000
R000024,2025-12-24,P024,デジタルカメラ α7 III（期間限定）,5,200000,1000000
R000025,2025-01-25,P025,プリズム光学eosr6［期間限定］,1,230000,230000
R000026,2025-02-26,P026,デジタルスカイ ノートパソコン FMV【店頭】[期間限定],2,80000,160000
R000027,2025-03-27,P027,テクノスフィア ValueBook＜半額セール＞,3,85000,255000
R000028,2025-04-28,P028,クリスタルビジョンOM-DE-M10【閉店セール】,4,120000,480000
R000029,2025-05-01,P029,プリズム光学 PIXMA iX6820【店頭】［期間限定］,5,25000,125000
R000030,2025-06-02,P030,エコタンク et-2750【半額セール】,1,35000,35000
R000031,2025-07-03,P031,オフィスプロIMC200（期間限定）,2,40000,80000
R000032,2025-08-04,P032,テクノセラミック DS-300【店頭】【半額セール】,3,45000,135000
R000033,2025-09-05,P033,ゆきだるま食品 一杯きつねうどん＜期間限定＞,4,220,880
R000034,2025-10-06,P034,クリアウォーターゴールドプレミアム（期間限定）,5,500,2500
R000035,2025-11-07,P035,ヘルシー乳業 ヘルス1000【店頭】［期間限定］,1,250,250
R000036,2025-12-08,P036,カレールウ［半額セール］,2,300,600
R000037,2025-01-09,P037,まるまる食品こだわり麺[期間限定],3,250,750
R000038,2025-02-10,P038,スマイル製菓 スティックチョコ【店頭】【閉店セール】,4,150,600
R000039,2025-03-11,P039,ドリーム製菓 プレミアムチョコ[半額セール],5,180,900
R000040,2025-04-12,P040,クラシック食品北国ラーメン【半額セール】,1,210,210
R000041,2025-05-13,P041,フレッシュベジ トマトジュース【店頭】[閉店セール],2,180,360
R000042,2025-06-14,P042,やさしいケア【期間限定】,3,350,1050
R000043,2025-07-15,P043,クリーンライフクリーンウォッシュ洗剤[閉店セール],4,800,3200
R000044,2025-08-16,P044,ビューティーラボ フローラルシャンプー【店頭】【半額セール】,5,1200,6000
R000045,2025-09-17,P045,ヘルスケアプラス リリーフシップ【閉店セール】,1,400,400
R000046,2025-10-18,P046,ケアファームクールケア［期間限定］,2,500,1000
R000047,2025-11-19,P047,コスメラボ ハンドクリーム【店頭】[期間限定],3,700,2100
R000048,2025-12-20,P048,やさしいケア 洗濯柔軟剤（半額セール）,4,300,1200
R000049,2025-01-21,P049,シンプルウェアジｰﾝズ［期間限定］,5,3000,15000
R000050,2025-02-22,P050,ナチュラルスタイル ウールブレンドコート【店頭】＜期間限定＞,1,5000,5000
R000051,2025-03-23,P051,シンプルウェア スウェットパーカー（半額セール）,2,2500,5000
R000052,2025-04-24,P052,ナチュラルスタイルリネンシャツ＜半額セール＞,3,2800,8400
R000053,2025-05-25,P053,シンプルウェア ストレッチジャケット【店頭】（期間限定）,4,3500,14000
R000054,2025-06-26,P054,Tシャツ[閉店セール],5,1200,6000
R000055,2025-07-27,P055,ナチュラルスタイルシンプルワンピース＜期間限定＞,1,4000,4000
R000056,2025-08-28,P056,スカイライン文具 G2 ジェﾙペﾝ【店頭】［半額セール］,2,150,300
R000057,2025-09-01,P057,ダイヤモンド文具 プロペンシル【閉店セール】,3,120,360
R000058,2025-10-02,P058,オフィスワークスタディノート（半額セール）,4,200,800
R000059,2025-11-03,P059,カラーライン ハイライター【店頭】【半額セール】,5,180,900
R000060,2025-12-04,P060,クリア消しゴム＜期間限定＞,1,100,100
R000061,2025-01-05,P061,ペンマスタースムースジェル［期間限定］,2,180,360
R000062,2025-02-06,P062,スカイライン文具 イレーサブルペン【店頭】【閉店セール】,3,130,390
R000063,2025-03-07,P063,ペンマスター シャープペンシル（半額セール）,4,160,640
R000064,2025-04-08,P064,アート文具ボールペン＜半額セール＞,5,150,750
R000065,2025-05-09,P065,オフィスプラス カラーペンセット【店頭】＜期間限定＞,1,250,250
R000066,2025-06-10,P066,トレインレール［期間限定］,2,2800,5600
R000067,2025-07-11,P067,ファンタジートイデジペット【期間限定】,3,1200,3600
R000068,2025-08-12,P068,ファンタジートイ マスクヒーローフィギュア【店頭】[閉店セール],4,3200,12800
R000069,2025-09-13,P069,ワンダートイ ミニカー[閉店セール],5,1500,7500
R000070,2025-10-14,P070,ファンタジートイチェンジロボ［半額セール］,1,3500,3500
R000071,2025-11-15,P071,ファンタジートイ モンスターカード【店頭】［半額セール］,2,500,1000
R000072,2025-12-16,P072,メカロボットフィギュア（半額セール）,3,4000,12000
R000073,2025-01-17,P073,ワンダートイヒーローフィギュア【期間限定】,4,3000,12000
