transaction_id,transaction_date,product_id,product_name,quantity,unit_price,total_price
E000001,2025-01-01,P001,スノーテック  CRYSTALVIEW  KJ-55X9500G＜半額セール＞,2,150000,300000
E000002,2025-02-02,P002,フジヤマ電機 VISIONMAX TH55FX700M[期間限定],3,120000,360000
E000003,2025-03-03,P003,サクラ電器 CLEARSCREEN 4T KJ-55X7000（ネット）【期間限定】,4,110000,440000
E000004,2025-04-04,P004,ゆきだるま食品 カップめん（期間限定）,5,200,1000
E000005,2025-05-05,P005,サファイア飲料  ゴールドビール（期間限定）,1,400,400
E000006,2025-06-06,P006,パワフル洗剤[期間限定],2,800,1600
E000007,2025-07-07,P007,シンプルウェア ウォームインナーシャツ（ﾈッﾄ）[期間限定],3,1500,4500
E000008,2025-08-08,P008,ナチュラルスタイル オーガニックコットンシャツ[期間限定],4,2500,10000
E000009,2025-09-09,P009,スカイライン文具  イレーサブルペン［半額セール］,5,100,500
E000010,2025-10-10,P010,ワンダートイ ロボットフィギュア[期間限定],1,3000,3000
E000011,2025-11-11,P011,アオゾラ電機 BRIGHTVIEW ４３Ｓ３２（ネット）＜半額セール＞,2,70000,140000
E000012,2025-12-12,P012,ミルクチョコ［半額セール］,3,150,450
E000013,2025-01-13,P013,フレッシュケア  ソフティーナ【半額セール】,4,500,2000
E000014,2025-02-14,P014,ヤマトｴｱｺﾝ MSZGV3519＜期間限定＞,5,90000,450000
E000015,2025-03-15,P015,ハッピースイーツ チョコパイ（ネット）【期間限定】,1,300,300
E000016,2025-04-16,P016,ミライ電機 4Kスマートテレビ[期間限定],2,80000,160000
E000017,2025-05-17,P017,フジヤマ電機  4Kプロジェクター[期間限定],3,130000,390000
E000018,2025-06-18,P018,加湿器 HX50[半額セール],4,15000,60000
E000019,2025-07-19,P019,スノーテック ワイヤレスヘッドホン WH-1000XM4（ネット）＜期間限定＞,5,90000,450000
E000020,2025-08-20,P020,フジヤマ電機 掃除機 mc-cl883＜半額セール＞,1,75000,75000
E000021,2025-09-21,P021,アオゾラ電機  ﾉﾝﾌﾛﾝ冷蔵庫（半額セール）,2,85000,170000
E000022,2025-10-22,P022,ミライ電機 ドラム式洗濯機【期間限定】,3,100000,300000
E000023,2025-11-23,P023,フジヤマ電機 エアコン CS-XE（ネット）【半額セール】,4,95000,380000
E000024,2025-12-24,P024,デジタルカメラ α7 III[半額セール],5,200000,1000000
E000025,2025-01-25,P025,プリズム光学  eos  r6【半額セール】,1,230000,230000
E000026,2025-02-26,P026,デジタルスカイ ノートパソコン FMV[半額セール],2,80000,160000
E000027,2025-03-27,P027,テクノスフィア ValueBook（ネット）【期間限定】,3,85000,255000
E000028,2025-04-28,P028,クリスタルビジョン OM-D E-M10【半額セール】,4,120000,480000
E000029,2025-05-01,P029,プリズム光学  PIXMA  iX6820【期間限定】,5,25000,125000
E000030,2025-06-02,P030,エコタンク et2750（半額セール）,1,35000,35000
E000031,2025-07-03,P031,オフィスプロ IM C200（ネット）（半額セール）,2,40000,80000
E000032,2025-08-04,P032,テクノセラミック DS-300＜期間限定＞,3,45000,135000
E000033,2025-09-05,P033,ゆきだるま食品  一杯きつねうどん＜半額セール＞,4,220,880
E000034,2025-10-06,P034,クリアウォーター ゴールドプレミアム[閉店セール],5,500,2500
E000035,2025-11-07,P035,ヘルシー乳業 ヘルス1000（ﾈッﾄ）［期間限定］,1,250,250
E000036,2025-12-08,P036,カレールウ＜半額セール＞,2,300,600
E000037,2025-01-09,P037,まるまる食品  こだわり麺[期間限定],3,250,750
E000038,2025-02-10,P038,スマイル製菓 スティックチョコ［半額セール］,4,150,600
E000039,2025-03-11,P039,ドリーム製菓 プレミアムチョコ（ネット）［半額セール］,5,180,900
E000040,2025-04-12,P040,クラシック食品 北国ラーメン［半額セール］,1,210,210
E000041,2025-05-13,P041,フレッシュベジ  トマトジュース［半額セール］,2,180,360
E000042,2025-06-14,P042,やさしいケア[閉店セール],3,350,1050
E000043,2025-07-15,P043,クリーンライフ クリーンウォッシュ洗剤（ネット）＜半額セール＞,4,800,3200
E000044,2025-08-16,P044,ビューティーラボ フローラルシャンプー【半額セール】,5,1200,6000
E000045,2025-09-17,P045,ヘルスケアプラス  リリーフシップ＜半額セール＞,1,400,400
E000046,2025-10-18,P046,ケアファーム クールケア［期間限定］,2,500,1000
E000047,2025-11-19,P047,コスメラボ ハンドクリーム（ネット）［半額セール］,3,700,2100
E000048,2025-12-20,P048,やさしいケア 洗濯柔軟剤【半額セール】,4,300,1200
E000049,2025-01-21,P049,シンプルウェア  ジｰﾝズ[閉店セール],5,3000,15000
E000050,2025-02-22,P050,ナチュラルスタイル ウールブレンドコート［半額セール］,1,5000,5000
E000051,2025-03-23,P051,シンプルウェア スウェットパーカー（ネット）[半額セール],2,2500,5000
E000052,2025-04-24,P052,ナチュラルスタイル リネンシャツ[期間限定],3,2800,8400
E000053,2025-05-25,P053,シンプルウェア  ストレッチジャケット【期間限定】,4,3500,14000
E000054,2025-06-26,P054,Tシャツ【半額セール】,5,1200,6000
E000055,2025-07-27,P055,ナチュラルスタイル シンプルワンピース（ネット）[期間限定],1,4000,4000
E000056,2025-08-28,P056,スカイライン文具 G2 ジェﾙペﾝ[期間限定],2,150,300
E000057,2025-09-01,P057,ダイヤモンド文具  プロペンシル[期間限定],3,120,360
E000058,2025-10-02,P058,オフィスワーク スタディノート[期間限定],4,200,800
E000059,2025-11-03,P059,カラーライン ハイライター（ネット）[閉店セール],5,180,900
E000060,2025-12-04,P060,クリア消しゴム（期間限定）,1,100,100
E000061,2025-01-05,P061,ペンマスター  スムースジェル［期間限定］,2,180,360
E000062,2025-02-06,P062,スカイライン文具 イレーサブルペン（期間限定）,3,130,390
E000063,2025-03-07,P063,ペンマスター シャープペンシル（ﾈッﾄ）＜期間限定＞,4,160,640
E000064,2025-04-08,P064,アート文具 ボールペン［半額セール］,5,150,750
E000065,2025-05-09,P065,オフィスプラス  カラーペンセット【期間限定】,1,250,250
E000066,2025-06-10,P066,トレインレール［期間限定］,2,2800,5600
E000067,2025-07-11,P067,ファンタジートイ デジペット（ネット）（期間限定）,3,1200,3600
E000068,2025-08-12,P068,ファンタジートイ マスクヒーローフィギュア【閉店セール】,4,3200,12800
E000069,2025-09-13,P069,ワンダートイ  ミニカー［半額セール］,5,1500,7500
E000070,2025-10-14,P070,ファンタジートイ チェンジロボ【閉店セール】,1,3500,3500
E000071,2025-11-15,P071,ファンタジートイ モンスターカード（ネット）＜期間限定＞,2,500,1000
E000072,2025-12-16,P072,メカロボットフィギュア［期間限定］,3,4000,12000
E000073,2025-01-17,P073,ワンダートイ  ヒーローフィギュア＜半額セール＞,4,3000,12000
E000074,2025-02-18,P074,ファンタジートイ ミニレーサー［半額セール］,5,2000,10000
E000075,2025-03-19,P075,スノーテック ワイヤレススピーカー srs-xb12（ネット）【期間限定】,1,8000,8000
E000076,2025-04-20,P076,フジヤマ電機 ポータブルスピーカー【閉店セール】,2,6000,12000
E000077,2025-05-21,P077,サクラ電器  ｽﾏｰﾄｳォッﾁ（半額セール）,3,18000,54000
E000078,2025-06-22,P078,デジタルサイネージ＜期間限定＞,4,95000,380000
E000079,2025-07-23,P079,フジヤマ電機 電子レンジ（ネット）【半額セール】,5,15000,75000
E000080,2025-08-24,P080,スノーテック ブルーレイプレーヤー【閉店セール】,1,12000,12000
E000081,2025-09-25,P081,グローバルビジョン  LED55PRO（半額セール）,2,180000,360000
E000082,2025-10-26,P082,アオゾラ電機 LEDテレビ 55型（半額セール）,3,70000,210000
E000083,2025-11-27,P083,フジヤマ電機 冷蔵庫 NR-F603M（ネット）［半額セール］,4,90000,360000
E000084,2025-12-28,P084,空気清浄機［期間限定］,5,22000,110000
E000085,2025-01-01,P085,ミライ電機  炊飯器  rz-mシリーズ【閉店セール】,1,30000,30000
E000086,2025-02-02,P086,ヤマト IHクッキングヒーター【半額セール】,2,45000,90000
E000087,2025-03-03,P087,スノーテック ゲーム機 GAMESTATION5（ネット）【半額セール】,3,50000,150000
E000088,2025-04-04,P088,ゲームワールド ポータブルゲーム（期間限定）,4,40000,160000
E000089,2025-05-05,P089,グローバルゲーム  ゲームボックスX【半額セール】,5,55000,275000
E000090,2025-06-06,P090,ビエラ ブルーレイレコーダー[期間限定],1,35000,35000
E000091,2025-07-07,P091,サクラ電器 ｽﾏｰﾄﾌォﾝ CLEARSCREEN R6（ﾈッﾄ）【期間限定】,2,70000,140000
E000092,2025-08-08,P092,スノーテック デジタル一眼レフ α7R IV【閉店セール】,3,250000,750000
E000093,2025-09-09,P093,プリズム光学  EOS  90D[半額セール],4,150000,600000
E000094,2025-10-10,P094,レンズマスター XT4【半額セール】,5,170000,850000
E000095,2025-11-11,P095,クリスタルビジョン pen-f（ネット）［半額セール］,1,140000,140000
E000096,2025-12-12,P096,Z6 II【期間限定】,2,200000,400000
E000097,2025-01-13,P097,プリズム光学  imagePROGRAF  PRO-1000＜期間限定＞,3,300000,900000
E000098,2025-02-14,P098,プリントマスター ｽｷャﾅｰ Perfection V39＜半額セール＞,4,25000,100000
