PRODUCT_ID_MASTER,PRODUCT_NAME_MASTER,UNIT_PRICE_MASTER,TRANSACTION_ID,TRANSACTION_DATE,PRODUCT_NAME,QUANTITY,UNIT_PRICE,TOTAL_PRICE,SIMILARITY
P001,スノーテック CRYSTALVIEW KJ-55X9500G,150000,R000001,2025-01-01,スノーテックCRYSTALVIEWKJ-55X9500G［期間限定］,2,150000,300000,0.9934140473
P002,フジヤマ電機 VISIONMAX TH-55FX700M,120000,R000002,2025-02-02,フジヤマ電機 VISIONMAX TH-55FX700M【店頭】＜期間限定＞,3,120000,360000,0.9617300182
P003,サクラ電器 CLEARSCREEN 4T KJ-55X7000,110000,R000003,2025-03-03,サクラ電器 CLEARSCREEN 4T KJ-55X7000[半額セール],4,110000,440000,0.9810262036
P004,ゆきだるま食品 カップめん,200,R000004,2025-04-04,ゆきだるま食品カップめん［期間限定］,5,200,1000,0.9767740392
P005,サファイア飲料 ゴールドビール,400,R000005,2025-05-05,サファイア飲料 ゴールドビール【店頭】＜半額セール＞,1,400,400,0.9863294324
P006,ブルーウェーブ パワフル洗剤,800,R000006,2025-06-06,パワフル洗剤（期間限定）,2,800,1600,0.9999993806
P007,シンプルウェア ウォームインナーシャツ,1500,R000007,2025-07-07,シンプルウェアウォームインナーシャツ[半額セール],3,1500,4500,0.9898247577
P008,ナチュラルスタイル オーガニックコットンシャツ,2500,R000008,2025-08-08,ナチュラルスタイル オーガニックコットンシャツ【店頭】［期間限定］,4,2500,10000,0.9939742864
P052,ナチュラルスタイル リネンシャツ,2800,R000008,2025-08-08,ナチュラルスタイル オーガニックコットンシャツ【店頭】［期間限定］,4,2500,10000,0.9249609959
P009,スカイライン文具 イレーサブルペン,100,R000009,2025-09-09,スカイライン文具 イレーサブルペン【閉店セール】,5,100,500,0.9749221461
P062,スカイライン文具 イレーサブルペン,130,R000009,2025-09-09,スカイライン文具 イレーサブルペン【閉店セール】,5,100,500,0.9595877156
P010,ワンダートイ ロボットフィギュア,3000,R000010,2025-10-10,ワンダートイロボットフィギュア【期間限定】,1,3000,3000,0.9842984305
P073,ワンダートイ ヒーローフィギュア,3000,R000010,2025-10-10,ワンダートイロボットフィギュア【期間限定】,1,3000,3000,0.9230375525
P011,アオゾラ電機 BRIGHTVIEW 43S32,70000,R000011,2025-11-11,アオゾラ電機 BRIGHTVIEW ４３Ｓ３２【店頭】【半額セール】,2,70000,140000,0.9921915521
P012,サンシャイン製菓 ミルクチョコ,150,R000012,2025-12-12,ミルクチョコ[期間限定],3,150,450,0.9999991194
P039,ドリーム製菓 プレミアムチョコ,180,R000012,2025-12-12,ミルクチョコ[期間限定],3,150,450,0.9080597368
